plate	column	row	Gene
1	6	8	MAST2
1	6	9	OBSCN
1	6	10	MATK
1	6	11	DCLK3
1	6	12	MBIP
1	6	13	KIAA1804
1	6	14	MELK
1	6	15	BRSK1
1	6	16	MERTK
1	6	17	LMTK3
1	6	18	MET
1	6	19	KIF13B
1	6	20	MGC16169
1	7	0	NA
1	7	1	PANK4
1	7	2	PRKCB1
1	7	3	PAPSS1
1	7	4	PRKCD
1	7	5	PAPSS2
1	7	6	PRKCE
1	7	7	PASK
1	7	8	PRKCG
1	7	9	PCK1
1	7	10	PRKCH
1	7	11	PCK2
1	7	12	PRKCI
1	7	13	PCTK1
1	7	14	PKN1
1	7	15	PCTK2
1	7	16	PKN2
1	7	17	PCTK3
1	7	18	PRKD1
1	7	19	PDGFRA
1	7	20	PRKD3
1	8	0	NA
1	8	1	UHMK1
1	8	2	STK32A
1	8	3	KIT|LOC652799
1	8	4	PIP5K1A
1	8	5	LMTK2
1	8	6	CSNK1A1L
1	8	7	KSR2
1	8	8	MGC42105
1	8	9	ALPK1
1	8	10	C9orf96
1	8	11	LATS1
1	8	12	DCLK2
1	8	13	LATS2
1	8	14	PIP5KL1
1	8	15	LCK
1	8	16	STK40
1	8	17	LCP2
1	8	18	ACAD10
1	8	19	PDLIM5
1	8	20	CAMKV
1	9	0	NA
1	9	1	PDGFRB
1	9	2	PRKCQ
1	9	3	PDK1
1	9	4	PRKCSH
1	9	5	PDK2
1	9	6	PRKCZ
1	9	7	PDK3
1	9	8	PRKD2
1	9	9	PDK4
1	9	10	LOC731751|PRKDC
1	9	11	PDPK1|LOC100134081
1	9	12	PRKG1
1	9	13	PDXK
1	9	14	PRKG2
1	9	15	PFKFB1
1	9	16	EIF2AK2
1	9	17	PFKFB2
1	9	18	PRKRA|PRKRAP1
1	9	19	PFKFB3
1	9	20	WNK1
1	10	0	NA
1	10	1	LIMK1
1	10	2	ALPK3
1	10	3	LIMK2
1	10	4	MINK1
1	10	5	EVI5L
1	10	6	MKNK1
1	10	7	PDIK1L
1	10	8	MKNK2
1	10	9	PRPS1L1
1	10	10	MOS
1	10	11	NRBP2
1	10	12	MPP1
1	10	13	MYLK3
1	10	14	MPP2
1	10	15	LTK
1	10	16	MPP3
1	10	17	LYK5
1	10	18	MPZL1|LOC644387|LOC644387
1	10	19	LYN
1	10	20	MRC2
1	11	0	NA
1	11	1	PFKFB4
1	11	2	WNK2
1	11	3	PFKL
1	11	4	WNK3
1	11	5	PFKM
1	11	6	WNK4
1	11	7	PFKP
1	11	8	PRKX
1	11	9	PFTK1
1	11	10	PRKY|PRKX
1	11	11	PGK1|LOC728198|LOC100132888|LOC100132377
1	11	12	PRPF4B
1	11	13	PGK2
1	11	14	PRPS1
1	11	15	PHKA1
1	11	16	PRPS2
1	11	17	PHKA2
1	11	18	PRPSAP1
1	11	19	PHKG1
1	11	20	PRPSAP2
1	12	0	NA
1	12	1	SMAD7
1	12	2	MST1R
1	12	3	MAGI3
1	12	4	MST4
1	12	5	MAK
1	12	6	MUSK
1	12	7	MALT1
1	12	8	MVD
1	12	9	MAP2K1
1	12	10	MVK
1	12	11	MAP2K1IP1
1	12	12	MYLK
1	12	13	MAP2K2|LOC407835
1	12	14	MYLK2
1	12	15	MAP2K3|LOC100133591|LOC650832|LOC650832
1	12	16	MYO3A
1	12	17	MAP2K4
1	12	18	MYO3B
1	12	19	MAP2K5
1	12	20	NAGK
1	13	0	NA
1	13	1	PHKG2
1	13	2	TAOK2
1	13	3	PI4K2B
1	13	4	PSKH1
1	13	5	PI4K2A
1	13	6	PSKH2
1	13	7	PIK3C2A
1	13	8	PTK2
1	13	9	PIK3C2B
1	13	10	PTK2B
1	13	11	PIK3C2G
1	13	12	PTK6
1	13	13	PIK3CA
1	13	14	PTK7
1	13	15	PIK3CB
1	13	16	TWF1
1	13	17	PIK3CG
1	13	18	TWF2
1	13	19	PIK3R1
1	13	20	PTPN5
1	14	0	NA
1	14	1	MAP2K6
1	14	2	NBEA
1	14	3	MAP2K7
1	14	4	COASY
1	14	5	MAP3K1
1	14	6	NEK1
1	14	7	MAP3K10
1	14	8	NEK11
1	14	9	MAP3K11
1	14	10	NEK2|LOC642458|LOC642458|LOC401007|LOC401007|LOC644637
1	14	11	MAP3K12
1	14	12	NEK3
1	14	13	MAP3K13
1	14	14	NEK4
1	14	15	MAP3K14
1	14	16	NEK6
1	14	17	MAP3K2
1	14	18	NEK7
1	14	19	MAP3K3
1	14	20	NEK8
1	15	0	NA
1	15	1	PIK3R2
1	15	2	PTPRG
1	15	3	PIK3R3
1	15	4	PTPRJ
1	15	5	PIK3R4
1	15	6	PTPRR
1	15	7	PI4KA|PI4KA|PI4KAP2|PI4KAP1|LOC100131322
1	15	8	PTPRT
1	15	9	PI4KB
1	15	10	PXK
1	15	11	PIM1
1	15	12	ALDH18A1
1	15	13	PIM2
1	15	14	RAC1
1	15	15	PINK1
1	15	16	RAF1
1	15	17	PIP5K1A
1	15	18	RAGE
1	15	19	PIP4K2A
1	15	20	RASGRF2|LOC100129411
2	0	0	NA
2	0	1	RBKS
2	0	2	SYK
2	0	3	RET
2	0	4	TAF1L|TAF1
2	0	5	TRIM27
2	0	6	TAF1L|TAF1
2	0	7	GRK1
2	0	8	TAOK2
2	0	9	RIOK1
2	0	10	TBK1
2	0	11	RIOK3
2	0	12	TEC
2	0	13	RIPK1
2	0	14	TEK
2	0	15	RIPK2
2	0	16	TESK1
2	0	17	RIPK3
2	0	18	TESK2
2	0	19	RNASEL|LOC100128746
2	0	20	TEX14
2	1	0	NA
2	1	1	NA
2	1	2	NA
2	1	3	NA
2	1	4	NA
2	1	5	NA
2	1	6	NA
2	1	7	NA
2	1	8	NA
2	1	9	NA
2	1	10	NA
2	1	11	NA
2	1	12	NA
2	1	13	NA
2	1	14	NA
2	1	15	NA
2	1	16	NA
2	1	17	NA
2	1	18	NA
2	1	19	NA
2	1	20	NA
2	2	0	NA
2	2	1	ROCK1
2	2	2	TGFBR1
2	2	3	ROCK2
2	2	4	TGFBR2
2	2	5	ROR1
2	2	6	TIE1
2	2	7	ROR2
2	2	8	TJP2
2	2	9	ROS1
2	2	10	TK1
2	2	11	RP2
2	2	12	TK2
2	2	13	RPS6KA1
2	2	14	TLK1|LOC100133905
2	2	15	RPS6KA2
2	2	16	TLK2
2	2	17	RPS6KA3
2	2	18	TLR1
2	2	19	RPS6KA4
2	2	20	TLR3
2	3	0	NA
2	3	1	NA
2	3	2	NA
2	3	3	NA
2	3	4	NA
2	3	5	NA
2	3	6	NA
2	3	7	NA
2	3	8	NA
2	3	9	NA
2	3	10	NA
2	3	11	NA
2	3	12	NA
2	3	13	NA
2	3	14	NA
2	3	15	NA
2	3	16	NA
2	3	17	NA
2	3	18	NA
2	3	19	NA
2	3	20	NA
2	4	0	NA
2	4	1	RPS6KA5
2	4	2	TLR4
2	4	3	RPS6KA6
2	4	4	TLR6
